,cum_cost,cum_penalty,cum_interventions
0,-0.006865288965530395,0.0,0.0
1,-0.009927394353485107,0.0,0.0
2,-0.010852694703950881,0.0,0.0
3,-0.011139853652420043,0.0,0.0
4,-0.004193880984425545,0.0,0.0
5,0.002042933042706251,0.0,0.0
6,0.018610788072195055,0.0,0.0
7,0.018066694003930094,0.0,0.0
8,0.017837057720284464,0.0,0.0
9,0.013942262925351133,0.0,0.0
10,-0.006312710456840013,0.0,0.0
11,-0.03155850031008283,0.0,0.0
12,-0.060537885855899254,0.0,0.0
13,-0.07036153173969978,0.0,0.0
14,-0.08620950085316839,0.0,0.0
15,-0.098481558789049,0.0,0.0
16,-0.10623348347661768,0.0,0.0
17,-0.10447061777322762,0.0,0.0
18,-0.09745238139299624,0.0,0.0
19,-0.07766610296327225,0.0,0.0
20,-0.06608857881902448,0.0,0.0
21,-0.05914442607866756,0.0,0.0
22,-0.04408392924387328,0.0,0.0
23,-0.018803791913278023,0.0,0.0
24,0.01799238337504752,0.0,0.0
25,0.05888077667041071,0.0,0.0
26,0.0762684601543624,0.0,0.0
27,0.09144571320791066,0.0,0.0
28,0.10493360323733986,0.0,0.0
29,0.11307879740005261,0.0,0.0
30,0.12746498018332725,0.0,0.0
31,0.14156946328257686,0.0,0.0
32,0.1380372487610448,0.0,0.0
33,0.12685919984668667,0.0,0.0
34,0.10864368851692612,0.0,0.0
35,0.0898302694062751,0.0,0.0
36,0.0747354308448642,0.0,0.0
37,0.06885008421068795,0.0,0.0
38,0.0913366562963315,0.0,0.0
39,0.608622735996118,0.0,0.0
40,0.7172607851180023,0.0,0.0
41,0.7685873933746189,0.0,0.0
42,0.8036554635384411,0.0,0.0
43,0.837522647423464,0.0,0.0
44,0.8606459108039027,0.0,0.0
45,0.872246029027018,0.0,0.0
46,0.8863336181113106,0.0,0.0
47,0.919458424077484,0.0,0.0
48,0.9530637577074343,0.0,0.0
49,0.9795940515588767,0.0,0.0
50,0.995184201029777,0.0,0.0
51,1.005233692786668,0.0,0.0
52,1.016862731120722,0.0,0.0
53,1.0301760560651334,0.0,0.0
54,1.046833307938598,0.0,0.0
55,1.416258745655229,0.0,0.0
56,2.115706150449003,0.0,0.0
57,2.864044632382078,0.0,0.0
58,3.9396024216494583,0.0,0.0
59,4.487537628215906,0.0,0.0
60,4.555125252083231,0.0,0.0
61,4.5543911957841035,0.0,0.0
62,4.550428057080255,0.0,0.0
63,4.5479767089291006,0.0,0.0
64,4.53513122038781,0.0,0.0
65,4.52357841820937,0.0,0.0
66,4.515078056376723,0.0,0.0
67,4.527726178772395,0.0,0.0
68,4.5376089454970225,0.0,0.0
