,cum_cost,cum_penalty,cum_interventions
0,0.014880503399631975,0.0,0.0
1,0.012918631510365007,0.0,0.0
2,0.01079364210900545,0.0,0.0
3,0.010636144613845346,0.0,0.0
4,0.014323450687577127,0.0,0.0
5,0.029938361194689272,0.0,0.0
6,0.05078595076564789,0.0,0.0
7,0.10136160026239395,0.0,0.0
8,0.17154691012516976,0.0,0.0
9,0.22983916951394023,0.0,0.0
10,0.3888959094974688,0.0,0.0
11,0.8581014893061367,0.0,0.0
12,1.4726961091915816,0.0,0.0
13,1.8118678235154302,0.0,0.0
14,2.020891088097635,0.0,0.0
15,2.552140653918224,0.0,0.0
16,2.8329744232117138,0.0,0.0
17,3.103587311987294,0.0,0.0
18,3.230262386461011,0.0,0.0
19,3.4275672917414237,0.0,0.0
20,3.5646562949257135,0.0,0.0
21,3.696252021311079,0.0,0.0
22,3.835781393921532,0.0,0.0
23,3.910544274893233,0.0,0.0
24,3.9538284220154014,0.0,0.0
25,3.989492351682655,0.0,0.0
26,4.013142606689688,0.0,0.0
27,4.035796624858263,0.0,0.0
28,4.058596465178441,0.0,0.0
29,4.084237712744929,0.0,0.0
30,4.131577785695289,0.0,0.0
31,4.219448010633606,0.0,0.0
32,4.301992204104816,0.0,0.0
33,4.54933038022045,0.0,0.0
34,5.188369753296945,0.0,0.0
35,5.851679585922848,0.0,0.0
36,6.663182507958303,0.0,0.0
37,7.109810865140792,0.0,0.0
38,7.418780017833118,0.0,0.0
39,7.940190790788743,0.0,0.0
40,8.203382133262654,0.0,0.0
41,8.478132203833281,0.0,0.0
42,8.659329736931022,0.0,0.0
43,8.838155205668077,0.0,0.0
44,8.958706346263375,0.0,0.0
45,9.123011918141865,0.0,0.0
46,9.22333924922167,0.0,0.0
47,9.291714316410486,0.0,0.0
48,9.333607388288423,0.0,0.0
49,9.39216889233404,0.0,0.0
50,9.435531690690253,0.0,0.0
51,9.47970379080083,0.0,0.0
52,9.52186223947938,0.0,0.0
53,9.576002306569148,0.0,0.0
54,9.655398923822233,0.0,0.0
55,9.703259693761535,0.0,0.0
56,9.814072978743877,0.0,0.0
57,10.266790074087158,0.0,0.0
