,cum_cost,cum_penalty,cum_interventions
0,-0.002970270348892212,0.0,0.0
1,-0.009462191204566957,0.0,0.0
2,-0.017522213569679264,0.0,0.0
3,-0.024984155899429324,0.0,0.0
4,-0.03253601123977661,0.0,0.0
5,-0.04026309731674194,0.0,0.0
6,-0.04663829898101807,0.0,0.0
7,-0.032787805567975045,0.0,0.0
8,-0.008861383353781702,0.0,0.0
9,0.0005133261212396587,0.0,0.0
10,0.12868115096831173,0.0,0.0
11,0.6730307009683154,7.66041470106481e-05,1.0
12,1.407540529968312,0.009794177476244045,2.0
13,1.742502639968319,0.03017203422043334,3.0
14,1.911912689968319,0.043425618113252726,4.0
15,2.528710829968319,0.05550485259413983,5.0
16,2.7729522699683193,0.0712547718432651,6.0
17,3.0203116999683193,0.08409140255116847,7.0
18,3.1003397399683195,0.08603921648097342,8.0
19,3.2863790699683193,0.09334820332332534,9.0
20,3.3882330399683194,0.094985745805674,10.0
21,3.486969019968319,0.09605290923008512,11.0
22,3.6075309299683194,0.09721778123148307,12.0
23,3.665957080249347,0.09721778123148307,12.0
24,3.6993811827841117,0.09721778123148307,12.0
25,3.7221115720512477,0.09721778123148307,12.0
26,3.738982134233351,0.09721778123148307,12.0
27,3.7534403617069,0.09721778123148307,12.0
28,3.7601607048760015,0.09721778123148307,12.0
29,3.770192447601221,0.09721778123148307,12.0
30,3.788366107601221,0.09754627907427176,13.0
31,3.871512137601221,0.11256655559779231,14.0
32,3.944784717601221,0.13891013773101957,15.0
33,4.324598227601213,0.17912282801828217,16.0
34,5.1175137776012205,0.19373325885666892,17.0
35,5.90926926660122,0.2326824115997002,18.0
36,6.737877976601213,0.25636853355950057,19.0
37,7.1068800866012145,0.2823596024995839,20.0
38,7.367285346601213,0.3143973102940651,21.0
39,7.942897306601221,0.3320287133862751,22.0
40,8.145565916601221,0.3485049904272506,23.0
41,8.399681176601222,0.3599616163992812,24.0
42,8.539989986601222,0.36683552564723765,25.0
43,8.689133286601223,0.37217690268535947,26.0
44,8.767602516601222,0.3727331461717837,27.0
45,8.916225966601223,0.37560185308349214,28.0
46,8.997293336601222,0.3757762912592907,29.0
47,9.054484961381819,0.3757762912592907,29.0
48,9.088416917217769,0.3757762912592907,29.0
49,9.133813102828327,0.3757762912592907,29.0
50,9.168403190380644,0.3757762912592907,29.0
51,9.205352868404587,0.3757762912592907,29.0
52,9.225832131994414,0.3757762912592907,29.0
53,9.250372381994413,0.3785231930657892,30.0
54,9.317408981994413,0.4029780738547345,31.0
55,9.411467791994413,0.4434764283591882,32.0
56,9.543981811994414,0.48389667040433365,33.0
57,10.16726124199441,0.5462037265718769,34.0
58,10.871714971994411,0.5784620063325774,35.0
59,11.356308041994406,0.6400460413528235,36.0
60,11.575004311994409,0.6702357142566453,37.0
61,11.667493951994409,0.6751585052050125,38.0
62,11.678400071994409,0.6765015368504783,39.0
63,11.819228731994409,0.6853349283174794,40.0
64,11.89873729199441,0.6895074130907707,41.0
65,11.98967848199441,0.6923913885715801,42.0
66,12.07074585199441,0.6951001237953475,43.0
67,12.17207997199441,0.6967962802268152,44.0
68,12.26769796199441,0.6983460030511819,45.0
69,12.45633543199441,0.703257848955524,46.0
70,12.57585801199441,0.7050271937874232,47.0
71,12.617934037450945,0.7050271937874232,47.0
72,12.872295717450948,0.7110948626318121,48.0
73,12.920395717450946,0.7110948626318121,48.0
74,12.958850927450946,0.7110948626318121,48.0
75,12.998864947450945,0.7112294922757403,49.0
76,13.066421027450945,0.7150435748689044,50.0
77,13.120985667450945,0.7232949076783203,51.0
78,13.156322887450946,0.7434071899341445,52.0
79,13.232193607450945,0.7633778135759776,53.0
80,13.397966187450946,0.7891824850079125,54.0
81,13.470766055450946,0.7916515550783622,55.0
82,13.555990745450947,0.7935303504523711,56.0
83,13.607216799432264,0.7935303504523711,56.0
84,13.67675777893043,0.7935303504523711,56.0
85,13.777752038794725,0.7935303504523711,56.0
86,13.836215738794724,0.7939265041965047,57.0
87,13.906889808794725,0.7951166645583648,58.0
88,14.045639808794725,0.8015544869810955,59.0
89,14.167760528794725,0.8072184430419022,60.0
90,14.35883444879473,0.8190572371351893,61.0
91,15.139106358794725,0.8237652311725685,62.0
92,15.808058218794725,0.8397928697169286,63.0
93,16.079891668794726,0.8561222922430554,64.0
94,16.176029138794725,0.8567940909397274,65.0
95,16.236309908794723,0.8574694941663217,66.0
96,16.259040931808013,0.8574694941663217,66.0
97,16.27882780465223,0.8574694941663217,66.0
98,16.29386456567656,0.8574694941663217,66.0
99,16.302991472387706,0.8574694941663217,66.0
100,16.32462061304276,0.8574694941663217,66.0
101,16.336498827057095,0.8574694941663217,66.0
102,16.35796609837528,0.8574694941663217,66.0
103,16.41039398837528,0.85754996308746,67.0
104,16.49821718837528,0.8586290277706684,68.0
105,16.517966561761963,0.8586290277706684,68.0
106,16.778906471761964,0.8601787680353281,69.0
107,17.064104691761965,0.8619704883340291,70.0
108,17.10732124921906,0.8619704883340291,70.0
109,17.127905819742445,0.8619704883340291,70.0
110,17.126988859742443,0.8621742182682587,71.0
111,17.202340099742443,0.8785953979521375,72.0
112,17.403969379742442,0.9305003215322394,73.0
113,17.472564789742442,0.9429773093733673,74.0
114,17.555710819742444,0.9538829944410874,75.0
115,17.640935509742445,0.958795775597636,76.0
116,17.760977569742444,0.9624112139842427,77.0
117,17.866469009742445,0.9633293919583426,78.0
