,cum_cost,cum_penalty,cum_interventions
0,-8.00000000005241e-07,0.0,0.0
1,-1.600000000010482e-06,0.0,0.0
2,-2.400000000015723e-06,0.0,0.0
3,-3.200000000020964e-06,0.0,0.0
4,-4.0000000000262045e-06,0.0,0.0
5,-4.800000000031445e-06,0.0,0.0
6,-5.600000000036686e-06,0.0,0.0
7,-6.400000000041926e-06,0.0,0.0
8,-7.200000000047167e-06,0.0,0.0
9,-8.000000000052407e-06,0.0,0.0
10,-8.800000000057648e-06,0.0,0.0
11,-9.600000000062888e-06,0.0,0.0
12,-1.0400000000068129e-05,0.0,0.0
13,-1.120000000007337e-05,0.0,0.0
14,-0.10340327999998836,0.0,0.0
15,-0.23010943999998684,0.0,0.0
16,-0.23011023999998684,0.0,0.0
17,-0.23011023999998684,0.0,0.0
18,-0.23011023999998684,0.0,0.0
19,-0.23011023999998684,0.0,0.0
20,-0.23011023999998684,0.0,0.0
21,-0.23011023999998684,0.0,0.0
22,-0.23011023999998684,0.0,0.0
23,-0.23011023999998684,0.0,0.0
24,-0.22673028999998684,0.0,0.0
25,-0.18307842999998686,0.0,0.0
26,-0.16956713999998685,0.0,0.0
27,-0.15828435999995355,0.0,0.0
28,-0.14737157999995354,0.0,0.0
29,-0.1381674599999624,0.0,0.0
30,-0.1272546799999624,0.0,0.0
31,-0.11997936999996239,0.0,0.0
32,-0.1199801699999624,0.0,0.0
33,-0.11998096999996241,0.0,0.0
34,-0.11998176999996242,0.0,0.0
35,-0.11998256999996243,0.0,0.0
36,-0.11998336999996244,0.0,0.0
37,-0.11998416999996245,0.0,0.0
38,-0.11998496999996246,0.0,0.0
39,0.22770854400005602,0.0,0.0
40,0.2787393140000645,0.0,0.0
41,0.29225060400006453,0.0,0.0
42,0.3073207040000645,0.0,0.0
43,0.3333039540000645,0.0,0.0
44,0.3509725640000645,0.0,0.0
45,0.3592872040000645,0.0,0.0
46,0.3738378240000645,0.0,0.0
47,0.4112537040000645,0.0,0.0
48,0.4455515940000645,0.0,0.0
49,0.4699756640000645,0.0,0.0
50,0.4926947740000969,0.0,0.0
51,0.49284240400009693,0.0,0.0
52,0.5027158540000969,0.0,0.0
53,0.5141484840000969,0.0,0.0
54,0.523502454000097,0.0,0.0
55,0.9892077640000674,0.0,0.0
56,1.8047125540000637,0.0,0.0
57,2.614305854000093,0.0,0.0
58,3.7253166940000857,0.0,0.0
59,4.2296259540000705,0.0,0.0
60,4.750452014000065,0.0,0.0
61,4.79392231500008,0.0,0.0
62,4.771708235000076,0.0,0.0
63,4.650925195000077,0.0,0.0
64,4.650924395000078,0.0,0.0
65,4.650923595000078,0.0,0.0
66,4.650922795000079,0.0,0.0
67,4.650921995000079,0.0,0.0
68,4.6509211950000795,0.0,0.0
69,4.65092039500008,0.0,0.0
70,4.65091959500008,0.0,0.0
71,4.650918795000081,0.0,0.0
72,4.650917995000081,0.0,0.0
73,4.650917195000082,0.0,0.0
74,4.650917195000082,0.0,0.0
75,4.650917195000082,0.0,0.0
76,5.215790645000082,0.0,0.0
77,5.525007045000071,0.0,0.0
78,6.091439675000071,0.0,0.0
79,6.099754315000071,0.0,0.0
80,6.092540555000071,0.0,0.0
81,6.08023879500007,0.0,0.0
82,6.060938475000068,0.0,0.0
83,6.0349839150000735,0.0,0.0
84,6.001974875000069,0.0,0.0
85,5.962963995000066,0.0,0.0
86,5.929099915000073,0.0,0.0
87,5.910808315000069,0.0,0.0
88,5.836336555000076,0.0,0.0
89,5.715598795000077,0.0,0.0
90,5.715597995000078,0.0,0.0
91,5.715597195000078,0.0,0.0
92,5.7155963950000785,0.0,0.0
93,5.715595595000079,0.0,0.0
94,5.715594795000079,0.0,0.0
95,5.71559399500008,0.0,0.0
96,5.71559319500008,0.0,0.0
97,5.715592395000081,0.0,0.0
98,5.715591595000081,0.0,0.0
99,5.7155907950000815,0.0,0.0
100,5.715589995000082,0.0,0.0
101,5.715589195000082,0.0,0.0
102,5.715588395000083,0.0,0.0
103,5.715587595000083,0.0,0.0
104,5.715586795000084,0.0,0.0
105,5.715585995000084,0.0,0.0
106,5.715585195000084,0.0,0.0
107,5.715584395000085,0.0,0.0
108,5.715583595000085,0.0,0.0
109,5.715582795000086,0.0,0.0
