,cum_cost,cum_reward,n_interventions
0,-0.010591136051521302,0.010591136051521302,0
1,-0.008344865835791828,0.008344865835791828,0
2,-0.0020915259924876705,0.0020915259924876705,0
3,0.005518391267524957,-0.005518391267524957,0
4,0.010570048917450905,-0.010570048917450905,0
5,0.017552234254680874,-0.017552234254680874,0
6,0.026410066108983755,-0.026410066108983755,0
7,0.0781722270291686,-0.0781722270291686,0
8,0.1683074389086139,-0.1683074389086139,0
9,0.22036205038212536,-0.22036205038212536,0
10,0.4110871418072757,-0.4110871418072757,0
11,0.9462444524484012,-0.9462444524484012,0
12,1.6284627451917264,-1.6284627451917264,0
13,2.0720035239500065,-2.0720035239500065,0
14,2.2811944160903233,-2.2811944160903233,0
15,2.809785204897491,-2.809785204897491,0
16,3.128255309981138,-3.128255309981138,0
17,3.391160170844414,-3.391160170844414,0
18,3.5215439709270164,-3.5215439709270164,0
19,3.6905441093345317,-3.6905441093345317,0
20,3.820612665450905,-3.820612665450905,0
21,3.9281160137414783,-3.9281160137414783,0
22,4.050199524878252,-4.050199524878252,0
23,4.12862793132547,-4.12862793132547,0
24,4.169514487069098,-4.169514487069098,0
25,4.190726785875785,-4.190726785875785,0
26,4.198699156419597,-4.198699156419597,0
27,4.209129732568277,-4.209129732568277,0
28,4.20955462261363,-4.20955462261363,0
29,4.209468720760364,-4.209468720760364,0
30,4.232877644149767,-4.232877644149767,0
31,4.31614870839636,-4.31614870839636,0
32,4.332992992798927,-4.332992992798927,0
33,4.573989680031661,-4.573989680031661,0
34,5.306864733816444,-5.306864733816444,0
35,6.1359928485101225,-6.1359928485101225,0
36,6.910946184459974,-6.910946184459974,0
37,7.400437236576474,-7.400437236576474,0
38,7.678104330795571,-7.678104330795571,0
39,8.230678912286981,-8.230678912286981,0
40,8.500412199540346,-8.500412199540346,0
41,8.770154763800033,-8.770154763800033,0
42,8.944388682262606,-8.944388682262606,0
43,9.099059081074769,-9.099059081074769,0
44,9.20897643477196,-9.20897643477196,0
45,9.347734530751811,-9.347734530751811,0
46,9.45055841169126,-9.45055841169126,0
47,9.520758668749925,-9.520758668749925,0
48,9.558367996009567,-9.558367996009567,0
49,9.599609761385864,-9.599609761385864,0
50,9.62953416837324,-9.62953416837324,0
51,9.666063202039382,-9.666063202039382,0
52,9.673539503568936,-9.673539503568936,0
53,9.71915905377512,-9.71915905377512,0
54,9.767977739167744,-9.767977739167744,0
55,9.768074682595245,-9.768074682595245,0
56,9.832351897767197,-9.832351897767197,0
57,10.348946174744784,-10.348946174744784,0
58,11.043229233531365,-11.043229233531365,0
59,11.617042871473027,-11.617042871473027,0
60,11.84203532236949,-11.84203532236949,0
61,12.0249463139364,-12.0249463139364,0
62,12.041757658226146,-12.041757658226146,0
63,12.214251349204766,-12.214251349204766,0
64,12.302348299163953,-12.302348299163953,0
65,12.417933254330354,-12.417933254330354,0
66,12.4946821843885,-12.4946821843885,0
67,12.606953820612139,-12.606953820612139,0
68,12.703669091311898,-12.703669091311898,0
69,12.875559425736038,-12.875559425736038,0
70,13.00896933982949,-13.00896933982949,0
71,13.078948135943119,-13.078948135943119,0
72,13.277848048669242,-13.277848048669242,0
73,13.3719332855077,-13.3719332855077,0
74,13.42109477642463,-13.42109477642463,0
75,13.454659512411268,-13.454659512411268,0
76,13.495886621975261,-13.495886621975261,0
77,13.578750869311783,-13.578750869311783,0
78,13.57713204729171,-13.57713204729171,0
79,13.576381510034974,-13.576381510034974,0
80,13.701457304584991,-13.701457304584991,0
81,13.80746220783935,-13.80746220783935,0
82,13.909614279146236,-13.909614279146236,0
83,13.98299294677111,-13.98299294677111,0
84,14.05518914608681,-14.05518914608681,0
85,14.186667187385702,-14.186667187385702,0
86,14.274260852395772,-14.274260852395772,0
87,14.354192627551532,-14.354192627551532,0
88,14.464877418851978,-14.464877418851978,0
89,14.59538516733379,-14.59538516733379,0
90,14.758197189788486,-14.758197189788486,0
91,15.393884446708974,-15.393884446708974,0
92,16.08864077011041,-16.08864077011041,0
93,16.421983063934675,-16.421983063934675,0
94,16.611534759811008,-16.611534759811008,0
95,16.6830270648662,-16.6830270648662,0
96,16.72903797803677,-16.72903797803677,0
97,16.750302212947496,-16.750302212947496,0
98,16.76242750682942,-16.76242750682942,0
99,16.7662081827878,-16.7662081827878,0
100,16.79067136962787,-16.79067136962787,0
101,16.795980047593286,-16.795980047593286,0
102,16.821586178868927,-16.821586178868927,0
103,16.8620616238976,-16.8620616238976,0
104,16.935064789114264,-16.935064789114264,0
105,16.95027714264095,-16.95027714264095,0
106,17.140271308980573,-17.140271308980573,0
107,17.411104141253997,-17.411104141253997,0
108,17.521449641189538,-17.521449641189538,0
109,17.549404891128685,-17.549404891128685,0
110,17.553188266908496,-17.553188266908496,0
111,17.65487711757793,-17.65487711757793,0
112,17.754835176768708,-17.754835176768708,0
113,17.797194560351244,-17.797194560351244,0
114,17.900556228649783,-17.900556228649783,0
115,18.034873579568615,-18.034873579568615,0
116,18.1815309100007,-18.1815309100007,0
117,18.312629909532625,-18.312629909532625,0
118,18.46545094808298,-18.46545094808298,0
119,18.61023821763429,-18.61023821763429,0
120,18.705172455365087,-18.705172455365087,0
121,18.738093240994456,-18.738093240994456,0
122,18.755439441883304,-18.755439441883304,0
123,18.761042264971586,-18.761042264971586,0
124,18.78115096136315,-18.78115096136315,0
125,18.78062697431148,-18.78062697431148,0
126,18.835698806363805,-18.835698806363805,0
127,18.877340576259815,-18.877340576259815,0
128,18.907464325515647,-18.907464325515647,0
129,19.20428260694059,-19.20428260694059,0
130,19.446044326192208,-19.446044326192208,0
131,19.643205613355008,-19.643205613355008,0
132,19.86372046328671,-19.86372046328671,0
133,20.04500304672912,-20.04500304672912,0
134,20.204151075987248,-20.204151075987248,0
135,20.302392391632107,-20.302392391632107,0
136,20.39888478085636,-20.39888478085636,0
137,20.511649140522568,-20.511649140522568,0
138,20.63284152844383,-20.63284152844383,0
139,20.728416131198443,-20.728416131198443,0
140,20.890964099803757,-20.890964099803757,0
141,21.035904668255174,-21.035904668255174,0
142,21.156472156729656,-21.156472156729656,0
143,21.232565499349842,-21.232565499349842,0
144,21.289926922823025,-21.289926922823025,0
145,21.325862627783103,-21.325862627783103,0
146,21.365817607088623,-21.365817607088623,0
147,21.39717539457102,-21.39717539457102,0
148,21.41615976411347,-21.41615976411347,0
149,21.46282592510389,-21.46282592510389,0
150,21.484824436136083,-21.484824436136083,0
151,21.560396043796054,-21.560396043796054,0
152,21.713060740125808,-21.713060740125808,0
153,21.89062220986931,-21.89062220986931,0
154,22.068438822734393,-22.068438822734393,0
155,22.23544640798789,-22.23544640798789,0
156,22.346635737728448,-22.346635737728448,0
157,22.89257295887365,-22.89257295887365,0
158,23.640658867419425,-23.640658867419425,0
159,24.185925724319855,-24.185925724319855,0
160,24.52793718886299,-24.52793718886299,0
161,24.867860096904845,-24.867860096904845,0
162,25.08812073184082,-25.08812073184082,0
163,25.26143082847585,-25.26143082847585,0
164,25.397723011874007,-25.397723011874007,0
165,25.501992012107465,-25.501992012107465,0
166,25.61109551447036,-25.61109551447036,0
167,25.667440865250416,-25.667440865250416,0
168,25.731274144843088,-25.731274144843088,0
169,25.75010696599934,-25.75010696599934,0
170,25.781695632362155,-25.781695632362155,0
171,25.78735879352967,-25.78735879352967,0
172,25.839305192722,-25.839305192722,0
173,25.844408571855396,-25.844408571855396,0
174,25.8941831616257,-25.8941831616257,0
175,25.956676673994583,-25.956676673994583,0
176,26.031425776959928,-26.031425776959928,0
177,26.13551729465575,-26.13551729465575,0
178,26.205679600499227,-26.205679600499227,0
179,26.27763578590897,-26.27763578590897,0
180,26.436073679689393,-26.436073679689393,0
181,26.57735465278815,-26.57735465278815,0
182,26.904645046498285,-26.904645046498285,0
183,27.184281555731665,-27.184281555731665,0
184,27.406157138786917,-27.406157138786917,0
185,27.644883014887625,-27.644883014887625,0
186,27.880729047665092,-27.880729047665092,0
187,28.04791794760998,-28.04791794760998,0
188,28.18958209292108,-28.18958209292108,0
189,28.291557791177425,-28.291557791177425,0
190,28.422400716479114,-28.422400716479114,0
191,28.500931798212633,-28.500931798212633,0
192,28.57254840632404,-28.57254840632404,0
193,28.60937083572601,-28.60937083572601,0
194,28.64763152212478,-28.64763152212478,0
195,28.675063888911478,-28.675063888911478,0
196,28.724027293779898,-28.724027293779898,0
197,28.76832740245208,-28.76832740245208,0
198,28.811510514392122,-28.811510514392122,0
199,28.89086401269806,-28.89086401269806,0
200,28.98260166543316,-28.98260166543316,0
201,29.133697247393023,-29.133697247393023,0
202,29.34265473866575,-29.34265473866575,0
203,29.46104150310697,-29.46104150310697,0
204,29.65318678036892,-29.65318678036892,0
205,29.848107272532147,-29.848107272532147,0
206,30.02031521385869,-30.02031521385869,0
207,30.24270034338187,-30.24270034338187,0
208,30.43328056393152,-30.43328056393152,0
209,30.68953837413047,-30.68953837413047,0
210,30.886726783630944,-30.886726783630944,0
211,31.017961758903258,-31.017961758903258,0
212,31.147345694802276,-31.147345694802276,0
213,31.275285903314455,-31.275285903314455,0
214,31.378519977579334,-31.378519977579334,0
215,31.449902722545627,-31.449902722545627,0
216,31.477031938098843,-31.477031938098843,0
217,31.494153005697466,-31.494153005697466,0
218,31.499181424781504,-31.499181424781504,0
219,31.513127667206632,-31.513127667206632,0
220,31.51084570798511,-31.51084570798511,0
221,31.53732799652556,-31.53732799652556,0
222,31.537234032136702,-31.537234032136702,0
223,31.599068191765948,-31.599068191765948,0
224,31.70011483170631,-31.70011483170631,0
225,31.8609362112876,-31.8609362112876,0
226,31.998486069997156,-31.998486069997156,0
227,32.102031398830505,-32.102031398830505,0
228,32.170705773926855,-32.170705773926855,0
229,32.357707695030555,-32.357707695030555,0
230,32.61024643142929,-32.61024643142929,0
231,32.868616650588535,-32.868616650588535,0
232,33.07030738971174,-33.07030738971174,0
233,33.19353690558797,-33.19353690558797,0
234,33.331898530616456,-33.331898530616456,0
235,33.509352749273695,-33.509352749273695,0
236,33.66803372969569,-33.66803372969569,0
237,33.779741932253735,-33.779741932253735,0
238,33.88046367830344,-33.88046367830344,0
239,33.96249196982539,-33.96249196982539,0
240,34.01393165451777,-34.01393165451777,0
241,34.06217530430851,-34.06217530430851,0
242,34.07481118724509,-34.07481118724509,0
243,34.0918609172103,-34.0918609172103,0
244,34.09855818659166,-34.09855818659166,0
245,34.1476509360316,-34.1476509360316,0
246,34.16805288127497,-34.16805288127497,0
247,34.227355448209764,-34.227355448209764,0
248,34.30438166493082,-34.30438166493082,0
249,34.43242765340695,-34.43242765340695,0
250,34.56162870549366,-34.56162870549366,0
251,34.66547940031471,-34.66547940031471,0
252,34.79100088178824,-34.79100088178824,0
253,34.87729029117594,-34.87729029117594,0
254,35.041575107065206,-35.041575107065206,0
255,35.135434933113224,-35.135434933113224,0
256,35.2648699775682,-35.2648699775682,0
257,35.373164748614045,-35.373164748614045,0
258,35.48745296113323,-35.48745296113323,0
259,35.632413510801705,-35.632413510801705,0
260,35.752800778581424,-35.752800778581424,0
261,35.8653409213153,-35.8653409213153,0
262,35.9729186353776,-35.9729186353776,0
263,36.04410821740883,-36.04410821740883,0
264,36.118615638931765,-36.118615638931765,0
265,36.153697867087054,-36.153697867087054,0
266,36.15681674154513,-36.15681674154513,0
267,36.20160890457229,-36.20160890457229,0
268,36.214965022214436,-36.214965022214436,0
269,36.22911325464792,-36.22911325464792,0
270,36.25526646628123,-36.25526646628123,0
271,36.317821948688554,-36.317821948688554,0
272,36.38760059980991,-36.38760059980991,0
273,36.47753585798367,-36.47753585798367,0
274,36.60128595021066,-36.60128595021066,0
275,36.83317744102454,-36.83317744102454,0
276,37.368869976789234,-37.368869976789234,0
277,38.021647646562904,-38.021647646562904,0
278,38.67283625592379,-38.67283625592379,0
279,39.13000004284659,-39.13000004284659,0
280,39.34318013292249,-39.34318013292249,0
281,39.52771332636733,-39.52771332636733,0
282,39.68384301329266,-39.68384301329266,0
283,39.80530508788409,-39.80530508788409,0
284,39.914179744105006,-39.914179744105006,0
285,40.01619955234961,-40.01619955234961,0
286,40.12690696279556,-40.12690696279556,0
287,40.19006323334544,-40.19006323334544,0
288,40.22035009950073,-40.22035009950073,0
289,40.23616696738514,-40.23616696738514,0
290,40.24479106612327,-40.24479106612327,0
291,40.24905457379074,-40.24905457379074,0
292,40.252463300001914,-40.252463300001914,0
293,40.27726268111546,-40.27726268111546,0
294,40.27350031161365,-40.27350031161365,0
295,40.336224460981086,-40.336224460981086,0
296,40.45403543368646,-40.45403543368646,0
297,40.49594706376381,-40.49594706376381,0
298,40.96428947143977,-40.96428947143977,0
299,41.48762441531065,-41.48762441531065,0
300,41.671768474890065,-41.671768474890065,0
301,41.757541729525194,-41.757541729525194,0
302,41.80858291965263,-41.80858291965263,0
303,41.91456917443407,-41.91456917443407,0
304,42.03843654683654,-42.03843654683654,0
305,42.139090991119545,-42.139090991119545,0
306,42.23006855415813,-42.23006855415813,0
307,42.313013550246225,-42.313013550246225,0
308,42.43375998353212,-42.43375998353212,0
309,42.548588567560515,-42.548588567560515,0
310,42.64979625080275,-42.64979625080275,0
311,42.71697687985835,-42.71697687985835,0
312,42.75361551778955,-42.75361551778955,0
313,42.77690363665589,-42.77690363665589,0
314,42.780454856871906,-42.780454856871906,0
315,42.78680628984192,-42.78680628984192,0
316,42.795274008374214,-42.795274008374214,0
317,42.79269279592858,-42.79269279592858,0
318,42.81895018309756,-42.81895018309756,0
319,42.81601413384044,-42.81601413384044,0
320,42.83275184691657,-42.83275184691657,0
321,42.95583380997001,-42.95583380997001,0
322,43.019760744571926,-43.019760744571926,0
323,43.190103472629225,-43.190103472629225,0
324,43.334421012663405,-43.334421012663405,0
